,BioProject,Library Name,tissue,Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,Library Name,tissue,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,BioSampleModel,Cultivar,dev_stage,isolate,Age,Ecotype,replicate,treatment,phenotype,Biomaterial_provider,disease_stage,disease,Collection_date,isolation_source,sample_type,Genotype,GEO_Accession (exp),source_name,sub_species,strain,time_cultured,tissue_type,symbiont,growth_protocol,AssemblyName,sample_name,is_reference,specific_host,collected_by,Host,biological_repeats,Developmental_stage,temp,variety,quality_book_char (run),library_selection (exp)
,PRJNA494675,904 T3 R3,leaf,SRR7963506,RNA-Seq,50,1314544950,SAMN10176423,771347878,TUSKEGEE UNIVERSITY,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4797135,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS9,SRP163417,PRJNA494675,904 T3 R3,leaf,USA,North America,USA: Alabama,Plant,,48 h after inoculation,904 line,,,R3,,resistant,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,904 T3 R2,leaf,SRR7963507,RNA-Seq,50,1314995450,SAMN10176422,775193441,TUSKEGEE UNIVERSITY,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4797134,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS8,SRP163417,PRJNA494675,904 T3 R2,leaf,USA,North America,USA: Alabama,Plant,,48 h after inoculation,904 line,,,R2,,resistant,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA494675,1006 T3 R1,leaf,SRR7963508,RNA-Seq,50,1313620550,SAMN10176430,776359696,TUSKEGEE UNIVERSITY,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4797133,BGISEQ-500,SINGLE,cDNA,TRANSCRIPTOMIC,Arachis hypogaea,BGISEQ,2018-10-04T00:00:00Z,ELS16,SRP163417,PRJNA494675,1006 T3 R1,leaf,USA,North America,USA: Alabama,Plant,,48 h after inoculation,1006 line,,,R1,,susceptible,,,early leaf spot,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRJNA470988: comprehensive characterization of embryo transcriptome under calcium deficiency and identify key regulatory genes related to embryo development in peanut,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T14,embryo,SRR7152511,RNA-Seq,251,5288913605,SAMN09197068,2544831195,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071989,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T14,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T13,embryo,SRR7152512,RNA-Seq,251,6335324770,SAMN09197068,3055663772,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071988,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T13,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T12,embryo,SRR7152513,RNA-Seq,251,5965767303,SAMN09197068,3126413043,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071987,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T12,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T11,embryo,SRR7152514,RNA-Seq,251,5453790502,SAMN09197068,2551563784,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071986,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T11,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T18,embryo,SRR7152515,RNA-Seq,251,5649757719,SAMN09197068,2733830495,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071985,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T18,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T17,embryo,SRR7152516,RNA-Seq,251,6235710008,SAMN09197068,2988199025,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071984,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T17,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T16,embryo,SRR7152517,RNA-Seq,251,5993332419,SAMN09197068,2882008246,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071983,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T16,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T15,embryo,SRR7152518,RNA-Seq,251,6477117632,SAMN09197068,3165084979,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071982,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T15,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T10,embryo,SRR7152519,RNA-Seq,221,4882192893,SAMN09197068,2373943085,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071981,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T10,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T09,embryo,SRR7152520,RNA-Seq,251,5725445743,SAMN09197068,2697508164,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071980,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T09,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T02,embryo,SRR7152521,RNA-Seq,251,5328612201,SAMN09197068,2499527949,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071979,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T02,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T01,embryo,SRR7152522,RNA-Seq,251,5428590700,SAMN09197068,2519688282,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071978,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T01,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T04,embryo,SRR7152523,RNA-Seq,251,5207285160,SAMN09197068,2428957090,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071977,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T04,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T03,embryo,SRR7152524,RNA-Seq,251,5272712308,SAMN09197068,2476655319,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071976,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T03,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T06,embryo,SRR7152525,RNA-Seq,251,4951128685,SAMN09197068,2328647631,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071975,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T06,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T05,embryo,SRR7152526,RNA-Seq,251,4963675086,SAMN09197068,2336358278,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071974,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T05,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T08,embryo,SRR7152527,RNA-Seq,251,5149256769,SAMN09197068,2421395670,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071973,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T08,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA470988,T07,embryo,SRR7152528,RNA-Seq,251,5754614403,SAMN09197068,2711565166,WEIJIANZ1'S SHARED SUBMISSIONS,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4071972,Illumina HiSeq 2500,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-05-11T00:00:00Z,Global transcriptome data for peanut embryos under calcium deficiency and sufficiency conditions,SRP145441,PRJNA470988,T07,embryo,China,Asia,China:Fujian,Plant,Minhua6,"15\,20\,30DAP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRJNA417591: RNA-seq for Aspergillus flavus infected samples of a resistant and susceptible peanut genotypes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFPH_RNAseq_Sample32_AGTTCC_Peanut_I635_L3,Seeds,SRR6279254,RNA-Seq,252,5838114744,SAMN08000513,2118474854,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381600,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFPH_RNAseq_Sample32_AGTTCC_Peanut_I635_L3,SRP124628,PRJNA417591,IFPH_RNAseq_Sample32_AGTTCC_Peanut_I635_L3,Seeds,USA,North America,USA,Plant,ICG1471,Mature,,,,biological replicate 3,Infection632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFPG_RNAseq_Sample31_AGTCAA_Peanut_I635_L3,Seeds,SRR6279255,RNA-Seq,252,4785645312,SAMN08000512,1737321914,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381599,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFPG_RNAseq_Sample31_AGTCAA_Peanut_I635_L3,SRP124628,PRJNA417591,IFPG_RNAseq_Sample31_AGTCAA_Peanut_I635_L3,Seeds,USA,North America,USA,Plant,ICG1471,Mature,,,,biological replicate 3,Infection+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFNU_RNAseq_Sample20_AGTTCC_Peanut_I635_L2,Seeds,SRR6279256,RNA-Seq,252,4465089216,SAMN08000501,1601626398,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381598,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFNU_RNAseq_Sample20_AGTTCC_Peanut_I635_L2,SRP124628,PRJNA417591,IFNU_RNAseq_Sample20_AGTTCC_Peanut_I635_L2,Seeds,USA,North America,USA,Plant,ICG1471,Mature,,,,biological replicate 2,Infection632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFNT_RNAseq_Sample19_AGTCAA_Peanut_I635_L2,Seeds,SRR6279257,RNA-Seq,252,4451407128,SAMN08000500,1613244603,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381597,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFNT_RNAseq_Sample19_AGTCAA_Peanut_I635_L2,SRP124628,PRJNA417591,IFNT_RNAseq_Sample19_AGTCAA_Peanut_I635_L2,Seeds,USA,North America,USA,Plant,ICG1471,Mature,,,,biological replicate 2,Infection+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFPL_RNAseq_Sample36_GTGAAA_Peanut_I635_L3,Seeds,SRR6279258,RNA-Seq,252,5393195388,SAMN08000517,1993311578,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381596,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFPL_RNAseq_Sample36_GTGAAA_Peanut_I635_L3,SRP124628,PRJNA417591,IFPL_RNAseq_Sample36_GTGAAA_Peanut_I635_L3,Seeds,USA,North America,USA,Plant,Florida-07,Mature,,,,biological replicate 3,Infection+64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFPK_RNAseq_Sample35_GTCCGC_Peanut_I635_L3,Seeds,SRR6279259,RNA-Seq,252,5817937608,SAMN08000516,2131995327,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381595,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFPK_RNAseq_Sample35_GTCCGC_Peanut_I635_L3,SRP124628,PRJNA417591,IFPK_RNAseq_Sample35_GTCCGC_Peanut_I635_L3,Seeds,USA,North America,USA,Plant,Florida-07,Mature,,,,biological replicate 3,Infection632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFNL_RNAseq_Sample12_GTGAAA_Peanut_I635_L1,Seeds,SRR6279264,RNA-Seq,252,5848552584,SAMN08000493,2190565906,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381590,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFNL_RNAseq_Sample12_GTGAAA_Peanut_I635_L1,SRP124628,PRJNA417591,IFNL_RNAseq_Sample12_GTGAAA_Peanut_I635_L1,Seeds,USA,North America,USA,Plant,Florida-07,Mature,,,,biological replicate 1,Infection+64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFNK_RNAseq_Sample11_GTCCGC_Peanut_I635_L1,Seeds,SRR6279265,RNA-Seq,252,5807388132,SAMN08000492,2149787919,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381589,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFNK_RNAseq_Sample11_GTCCGC_Peanut_I635_L1,SRP124628,PRJNA417591,IFNK_RNAseq_Sample11_GTCCGC_Peanut_I635_L1,Seeds,USA,North America,USA,Plant,Florida-07,Mature,,,,biological replicate 1,Infection632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFPJ_RNAseq_Sample34_CCGTCC_Peanut_I635_L3,Seeds,SRR6279270,RNA-Seq,252,4929559992,SAMN08000515,1840382644,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381584,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFPJ_RNAseq_Sample34_CCGTCC_Peanut_I635_L3,SRP124628,PRJNA417591,IFPJ_RNAseq_Sample34_CCGTCC_Peanut_I635_L3,Seeds,USA,North America,USA,Plant,Florida-07,Mature,,,,biological replicate 3,Infection+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFQI_RNAseq_Sample57_ATGTCA_Peanut_I635_L5,Seeds,SRR6279271,RNA-Seq,252,4441176432,SAMN08000538,1611864846,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381583,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFQI_RNAseq_Sample57_ATGTCA_Peanut_I635_L5,SRP124628,PRJNA417591,IFQI_RNAseq_Sample57_ATGTCA_Peanut_I635_L5,Seeds,USA,North America,USA,Plant,ICG1471,Mature,,,,biological replicate 5,Infection+64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFQH_RNAseq_Sample56_AGTTCC_Peanut_I635_L5,Seeds,SRR6279272,RNA-Seq,252,5019635880,SAMN08000537,1816236949,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381582,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFQH_RNAseq_Sample56_AGTTCC_Peanut_I635_L5,SRP124628,PRJNA417591,IFQH_RNAseq_Sample56_AGTTCC_Peanut_I635_L5,Seeds,USA,North America,USA,Plant,ICG1471,Mature,,,,biological replicate 5,Infection632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFQG_RNAseq_Sample55_AGTCAA_Peanut_I635_L5,Seeds,SRR6279273,RNA-Seq,252,4679483004,SAMN08000536,1687497566,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381581,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFQG_RNAseq_Sample55_AGTCAA_Peanut_I635_L5,SRP124628,PRJNA417591,IFQG_RNAseq_Sample55_AGTCAA_Peanut_I635_L5,Seeds,USA,North America,USA,Plant,ICG1471,Mature,,,,biological replicate 5,Infection+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFPI_RNAseq_Sample33_ATGTCA_Peanut_I635_L3,Seeds,SRR6279276,RNA-Seq,252,3843769104,SAMN08000514,1407067488,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381578,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFPI_RNAseq_Sample33_ATGTCA_Peanut_I635_L3,SRP124628,PRJNA417591,IFPI_RNAseq_Sample33_ATGTCA_Peanut_I635_L3,Seeds,USA,North America,USA,Plant,ICG1471,Mature,,,,biological replicate 3,Infection+64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFNJ_RNAseq_Sample10_CCGTCC_Peanut_I635_L1,Seeds,SRR6279279,RNA-Seq,252,5371681392,SAMN08000491,2010349350,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381575,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFNJ_RNAseq_Sample10_CCGTCC_Peanut_I635_L1,SRP124628,PRJNA417591,IFNJ_RNAseq_Sample10_CCGTCC_Peanut_I635_L1,Seeds,USA,North America,USA,Plant,Florida-07,Mature,,,,biological replicate 1,Infection+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFQL_RNAseq_Sample60_GTGAAA_Peanut_I635_L5,Seeds,SRR6279280,RNA-Seq,252,5332003236,SAMN08000541,1960861600,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381574,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFQL_RNAseq_Sample60_GTGAAA_Peanut_I635_L5,SRP124628,PRJNA417591,IFQL_RNAseq_Sample60_GTGAAA_Peanut_I635_L5,Seeds,USA,North America,USA,Plant,Florida-07,Mature,,,,biological replicate 5,Infection+64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFQK_RNAseq_Sample59_GTCCGC_Peanut_I635_L5,Seeds,SRR6279281,RNA-Seq,252,4433714460,SAMN08000540,1618290111,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381573,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFQK_RNAseq_Sample59_GTCCGC_Peanut_I635_L5,SRP124628,PRJNA417591,IFQK_RNAseq_Sample59_GTCCGC_Peanut_I635_L5,Seeds,USA,North America,USA,Plant,Florida-07,Mature,,,,biological replicate 5,Infection632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFQW_RNAseq_Sample69_ATGTCA_Peanut_I635_L6,Seeds,SRR6279283,RNA-Seq,252,3996785016,SAMN08000550,1400806877,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381571,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFQW_RNAseq_Sample69_ATGTCA_Peanut_I635_L6,SRP124628,PRJNA417591,IFQW_RNAseq_Sample69_ATGTCA_Peanut_I635_L6,Seeds,USA,North America,USA,Plant,ICG1471,Mature,,,,biological replicate 6,Infection+64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRJNA417591,IFQX_RNAseq_Sample70_CCGTCC_Peanut_I635_L6,Seeds,SRR6279284,RNA-Seq,252,4772382804,SAMN08000551,1731028614,UGA,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3381570,Illumina HiSeq 2500,PAIRED,PolyA,TRANSCRIPTOMIC,Arachis hypogaea,ILLUMINA,2018-02-09T00:00:00Z,IFQX_RNAseq_Sample70_CCGTCC_Peanut_I635_L6,SRP124628,PRJNA417591,IFQX_RNAseq_Sample70_CCGTCC_Peanut_I635_L6,Seeds,USA,North America,USA,Plant,Florida-07,Mature,,,,biological replicate 6,Infection+16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
